topic,problem_statement,solution,answer_option_1,answer_option_2,answer_option_3,answer_option_4,answer_option_5,correct_option_number
Spatial reasoning,"Imagine a cube with an edge length of 3 units. Within this cube, a single point is selected at random. What is the probability that this point is within 1 unit of at least one of the edges of the cube?","Firstly, to solve this puzzle, we must consider the volume of the cube where a point must lie to be within 1 unit from an edge. This comprises 1 unit thick layers along all edges and corners. Along each face, there are strips of width 1 unit, which give us 6 areas of 1x3 units. However, the corners are counted thrice and the edges are counted twice. Therefore, we need to subtract the corner contributions. Each corner, consisting of one-eighth of a cube with side length 1 unit, has a volume of 1/8 units. Since there are 8 corners, these account for 1 unit of volume which we need to subtract once as they are over-counted twice, once for each of the three adjoining strips. Next, we deduct half the volume of each small edge cube (which has a volume of 1 unit) since they are counted in two adjoining strips along the face, giving us 12 half units to subtract. So, the total 'edge-near' volume is 6*3 - 1 - 6 = 11 cubic units. The volume of the entire cube is 3^3 = 27 cubic units. Thus the probability is 11/27.",11/27,1/3,8/27,2/9,Another answer,5
Lateral thinking,"Eva, Luna, and Zara decide to have a competition with their freshly baked pies. They each bake a pie and place them on the table. The pies are cherry, apple, and blueberry. Eva doesn't like cherries, Luna made an apple pie, and Zara is allergic to blueberries. Based on this information, can you deduce who baked which pie?","Since Luna made the apple pie, that leaves cherry and blueberry pies. Eva doesn't like cherries, so she wouldn't bake a cherry pie, and Zara is allergic to blueberries, so she wouldn't bake a blueberry pie. Therefore, Eva baked the blueberry pie, Luna baked the apple pie, and Zara baked the cherry pie.","Eva: Cherry, Luna: Apple, Zara: Blueberry","Eva: Blueberry, Luna: Apple, Zara: Cherry","Eva: Apple, Luna: Cherry, Zara: Blueberry","Eva: Apple, Luna: Blueberry, Zara: Cherry",Another answer,2
Operation of mechanisms,"A team of three workers, Anna, Bob, and Charles, operates a complex mechanism that requires all three to pull levers simultaneously to activate. The mechanism can only be activated twice a day. Each worker can pull their lever only once per day. A new policy dictates that for security reasons, no worker can pull the lever two days in a row. If Anna pulled her lever yesterday, who are the two workers that can operate the mechanism today?","Since Anna pulled her lever yesterday, she cannot pull it today due to the new policy. Therefore, the only two people who can operate the mechanism today by pulling their levers simultaneously are Bob and Charles.",Anna and Bob,Bob and Charles,Charles and Anna,"Anna, Bob, and Charles",Another answer,2
Operation of mechanisms,"You have three types of gears: Type A, Type B, and Type C. Each Type A gear has 8 teeth, each Type B gear has 10 teeth, and each Type C gear has 12 teeth. When a Type A gear is connected to a Type B gear, the Type A gear makes 5 revolutions for every 4 revolutions of the Type B gear. If you mesh a gear of Type A with a gear of Type C, how many revolutions will the Type A gear make when the Type C gear completes 3 revolutions?","Since Type A has 8 teeth and Type B has 10 teeth, there is a 4:5 ratio in their revolutions because the ratio of their teeth is 8:10 (or simplified, 4:5), meaning for every rotation of Type B, Type A will have made 5/4 rotations. For Type A and Type C, the ratio is 8:12, which can be simplified to 2:3. This means for every revolution of Type C, Type A will have made 3/2 revolutions. If Type C makes 3 revolutions, Type A will make 3 * (3/2) = 9/2 = 4.5 revolutions.",4.5 revolutions,3 revolutions,6 revolutions,4 revolutions,Another answer,5
Classic riddles,"A precious stone that is always in plain sight is never the same, yet often seems to repeat. It's prized by many to sit and gaze, though it comes and goes with both night and day. What is it?","The correct answer is the sky. It is always there for us to see, but its appearance changes due to the weather, time of day, and seasons. Despite these changes, patterns such as day and night or weather cycles make it seem repetitive. People often admire it for its beauty, such as during a sunset or while stargazing.",A diamond,The ocean,The sky,A painting,Another answer,3
Spatial reasoning,"A jar contains a mixture of black and white marbles. The probability of pulling out a black marble is 1/3. If there are 6 more white marbles than black marbles, how many marbles are there in total?","Let the number of black marbles be B and the number of white marbles be W. The probability of pulling out a black marble is the number of black marbles divided by the total number of marbles, so P(black) = B / (B + W). We are given that P(black) = 1/3 and that W = B + 6. Substituting W in the first equation, we get 1/3 = B / (B + B + 6), which simplifies to 1/3 = B / (2B + 6). Multiplying both sides by (2B + 6) and by 3 to get rid of the fraction gives us B = 2B + 6, which simplifies to B = 6 when we move the B terms to one side. With B = 6, we substitute back into W = B + 6 to find W = 12. The total number of marbles is B + W = 6 + 12 = 18.",12,18,24,30,Another answer,2
Probability and statistics,"In a small town, there are 45% men and the rest are women. Out of all women, 25% are teachers. Additionally, out of all men, 10% are teachers. What is more probable: selecting a man from the town's population or selecting a teacher?","We calculate the probability of each event. Total population is 100%. Men: 45%. Women: 55%. But we must consider the percentage that are teachers. Men teachers: 45% * 10% = 4.5%. Women teachers: 55% * 25% = 13.75%. Total teachers: 4.5% + 13.75% = 18.25%. Comparing the probabilities, selecting a man (45%) is more probable than selecting a teacher (18.25%).",Selecting a man is more probable,Selecting a teacher is more probable,Both events are equally probable,There is not enough information to determine,Another answer,1
Logical traps,"Alice, Bob, and Charlie are participants in a game show. The host shows them five hats: three red and two blue. Each participant is blindfolded and has one hat placed on their head; the remaining hats are hidden. They can't see their own hat, but they can see the hats of the other two participants. The first to correctly announce the color of their own hat wins a prize. Alice sees that Bob and Charlie have red hats. Bob sees that Alice and Charlie have red hats. Charlie sees that Alice and Bob have red hats. They all deduce logically and do not guess. Alice says she doesn't know the color of her hat. Bob also says he doesn't know the color of his hat. Charlie then announces the color of his hat. What color is Charlie's hat, and what is the logical explanation?","Charlie's hat is red. Since Alice sees two red hats, if her hat were blue, Bob would see one red and one blue hat. In that case, knowing there are only two blue hats, Bob would deduce that his hat must be red. However, Bob didn't know the color of his hat, which means Alice's hat must be red. Bob sees two red hats as well, and if his hat were blue, following the same logic as before, Charlie would have answered without waiting for Bob to speak. Since Charlie also didn't know until Bob spoke, it means all three participants are wearing red hats.",Red,Blue,The color cannot be determined,Not enough information,Another answer,2
Optimization of actions and planning,"A company offers two monthly subscription plans for its services: Plan A costs $100 per month, and Plan B has a $50 monthly fee plus $1 for each use of the service. A customer expects to use the service exactly 75 times in the upcoming month. Assuming the customer wants to minimize their spending, which plan should they choose?","To find the optimal plan, calculate the total cost for each plan for 75 uses. Plan A would cost $100. Plan B would cost $50 plus $1 for each use, which is $50 + (75 * $1) = $125. Therefore, Plan A is cheaper for 75 uses.",Plan A,Plan B,Both plans cost the same,Not enough information to determine,Another answer,1
Optimization of actions and planning,A business analyst must schedule meetings with 3 different clients. The first client is available every day from 9 am to 11 am. The second client is available every day from 10 am to 12 pm. The third client can meet only on Wednesday and has flexibility from 9 am to 1 pm. The analyst has a personal appointment on Wednesday from 12 pm to 1 pm and the meetings with clients must not overlap. What time should the analyst schedule the meetings with the three clients on Wednesday in order to attend all three meetings and the personal appointment?,"The analyst can schedule the meetings in the following way: Meet the first client from 9 am to 10 am. Then, meet the second client from 10 am to 11 am. Lastly, the third client can be scheduled from 11 am to 12 pm. This arrangement allows the analyst to attend all three meetings with each client when they are available and without any overlap, and also allows them to attend their personal appointment from 12 pm to 1 pm.","First client at 9-10 am, Second client at 10-11 am, Third client at 11 am-12 pm","First client at 9-11 am, Second client at 11 am-12 pm, Third client at 10-11 am","First client at 10-11 am, Second client at 9-10 am, Third client at 11 am-12 pm",All meetings are scheduled from 11 am to 12 pm,Another answer,1
Sequence solving,"You come across a curious series of numbers written on an ancient wall: 2, 6, 12, 20, 30, 42, 56, __? The series seems to follow a particular pattern. Can you determine the next number in the sequence?","The sequence is generated by the formula n(n+1), where n is the position of the term in the sequence, starting with n=1 for the first term. Thus, each term is the product of two consecutive numbers. The first term is 1(1+1) = 2, the second term is 2(2+1) = 6, the third term is 3(3+1) = 12, and so on. The 8th term will be 8(8+1)=72, which is the next number in the series.",64,72,81,90,Another answer,2
Spatial reasoning,"A cube has a side length of 4 units. It is painted on all its exterior surfaces and then cut into smaller cubes of 1 unit side length each. Without any of the smaller cubes being moved or taken apart, what is the total number of smaller cubes that have exactly two sides painted?","The smaller cubes that have exactly two sides painted are the cubes that are on the edges of the original cube, but not on its corners. Each edge of the original cube will have 2 such smaller cubes after the cut (since the corner ones are excluded) and since the cube has 12 edges, we will have 2 * 12 = 24 small cubes with exactly two sides painted.",8,16,24,32,Another answer,3
Optimization of actions and planning,"You have 4 tasks to complete with different priorities and durations. Task A has a duration of 4 hours with a high priority. Task B takes 1 hour with a medium priority. Task C occupies you for 3 hours with a low priority. Task D is 2 hours long with a high priority. Your challenge is to minimize the total time spent on tasks by efficiently ordering their completion based on the principle that high priority tasks can't be postponed unless a higher priority task is occupying the slot. If a task is started it must be finished before another is taken up. What is the sequence of tasks that ensures the shortest time to complete all the tasks, taking into account the given constraints?","According to the problem constraints, high priority tasks should be done first unless they are longer and a shorter medium priority task can be done in meantime. Therefore, start with Task D (high priority, 2 hours), then do Task B (medium priority, 1 hour) while waiting to begin Task A (since it's longer), and finish with Task A (high priority, 4 hours), ending with Task C (low priority, 3 hours). The sequence is D-B-A-C.",A-B-C-D,A-D-B-C,D-B-A-C,B-A-D-C,Another answer,3
Operation of mechanisms,"In a toy factory, three machines A, B, and C are responsible for producing red, green, and blue toy blocks, respectively. Machine A can produce a red block every 4 minutes, machine B can produce a green block every 3 minutes, and machine C can produce a blue block every 7 minutes. If all three machines are started simultaneously, after how many minutes will they produce a block at the same time again?","The problem can be solved by finding the least common multiple (LCM) of the machines' production times. The production times are: Machine A = 4 minutes, Machine B = 3 minutes, Machine C = 7 minutes. The LCM of 4, 3, and 7 is 84. Therefore, all three machines will produce a block at the same time again after 84 minutes.",84 minutes,14 minutes,12 minutes,60 minutes,Another answer,1
Probability and statistics,"Alex, Bob, and Charlie are playing a game where they need to draw marbles from a bag without looking. Inside the bag there are 5 red, 3 blue, and 2 green marbles. They will each take a turn to draw a marble from the bag and keep it. After each draw, the marble is not put back into the bag. Alex will draw first, followed by Bob, and then Charlie. What is the probability that Alex draws a red marble and Charlie draws a blue marble?","The total number of marbles is 5 red + 3 blue + 2 green = 10 marbles. The probability of Alex drawing a red marble first is 5 red / 10 total = 1/2. After Alex draws, there are 9 marbles left. However, for Charlie to draw a blue marble, we need to consider the scenario where Bob does not draw a blue marble, leaving at least one blue for Charlie. Bob can draw a red or green marble. There are 4 reds + 3 blues + 2 greens left = 9 marbles. The probability of Bob not drawing a blue is 6 non-blue / 9 total = 2/3. If Bob does not draw a blue, there are 3 blue + 5 other colors left = 8 marbles in total. Thus, Charlie's chance of drawing a blue marble if a blue is still there is 3 blue / 8 total = 3/8. The combined probability is the probability of Alex drawing a red, times the probability of Bob not drawing a blue, times the probability of Charlie drawing a blue. This gives: (1/2) * (2/3) * (3/8) = 1/16.",1/16,1/12,1/8,1/4,Another answer,5
Classic riddles,"In a room sit three different containers. Container 1 holds apples, Container 2 holds oranges, and Container 3 holds a mix of both apples and oranges. All containers are mislabeled. You are allowed to draw a fruit from one container only to correctly label all containers. From which container would you draw the fruit, and what steps must you follow to correctly label each container?","You would draw from the container labeled 'mixed'. Since all containers are mislabeled, the 'mixed' label cannot represent the mixed fruits. It can either have only apples or only oranges. Suppose you draw an apple from it; you know now that container is apples. Then, go to the container labeled 'apples'. It can't be apples (because the one you drew from is apples), and it can't be mixed (because all are mislabeled), so it must be oranges. The last container then must be the mixed one.",Container 1,Container 2,Container 3,"None, you cannot label them correctly with just one draw",Another answer,3
Optimization of actions and planning,"A sales representative has four cities to visit: A, B, C, and D. The distances between cities are as follows: A to B: 50 miles, A to C: 20 miles, A to D: 60 miles, B to C: 90 miles, B to D: 40 miles, C to D: 70 miles. She must visit each city once and return to the original departure city. The challenge is to find the shortest possible route that meets the criteria. What is the total distance of the shortest route?","To solve this, we list out the possible routes and calculate the total distance for each. The shortest route is A->C->B->D->A with a total distance of 20 (A to C) + 90 (C to B) + 40 (B to D) + 60 (D to A) = 210 miles.",220 miles,210 miles,230 miles,240 miles,Another answer,5
Spatial reasoning,"Imagine a 3x3x3 Rubik's cube. Each small cube on the surface is colored either red, blue, or green. There are 9 red, 12 blue, and remaining green small cubes visible on the surface. Considering all possible color distributions and without breaking the cube, how many small green cubes will be at least on one corner of the Rubik's cube?","Each corner of the Rubik's cube has 3 small cubes, and there are 8 corners in total, so there are 24 corner positions. Each small cube on the surface occurs at the corner once. Since there are 9 red and 12 blue cubes, which total 21, there must be 3 green cubes to make up the 24 corner positions. The answer is 3 green cubes.",1,2,3,4,Another answer,5
Optimization of actions and planning,"Anna needs to prepare and deliver handmade crafts for a local fair. She has only 8 hours to make as many pieces as possible. She can make small figures that take 20 minutes each or larger figures that take 1 hour each. For every three small figures, she gets a profit of $15, and for each large figure, she gets a profit of $10. What is the maximum profit she can earn in 8 hours if she needs at least 1 hour to pack and deliver them all?","Anna has 7 hours left after allocating 1 hour for packing and delivery. In 7 hours, she can make a maximum of 21 small figures (7 hours * 3 figures/hour) or 7 large figures (7 hours/1 hour per figure). The maximum profit for small figures is (21/3) * $15 = $105. The maximum profit for large figures is 7 * $10 = $70. Therefore, the maximum profit Anna can earn is $105 by making only small figures.",$70,$80,$100,$105,Another answer,4
Operation of mechanisms,"A homeowner wants to design a simple mechanical gate that opens automatically when their car approaches from the outside but does not open when the car exits the driveway. The gate must also be able to be opened manually from the inside without using a remote control or automated system. Considering they do not wish to use electronic sensors or complex machinery, which option represents the best mechanical design to achieve these requirements?","The best option is a weighted pivot mechanism where the gate opens inward when a car pushes on a lever from the outside. On exiting, the car would not touch the lever as it moves away from the gate. For manual opening from inside, a simple latch that disengages the pivot mechanism allows someone to open the gate manually.",Use a pull-rope connected to the gate that the homeowner can tug from the car.,Install a weighted pivot mechanism that opens when a car pushes from the outside.,Have a pressure plate on the driveway that triggers the gate when a car is on top of it.,Fit the car with a magnet that attracts a metallic plate on the gate when near.,Another answer,5
Classic riddles,"You see a boat filled with people. It has not sunk, but when you look again you don’t see a single person on the boat. Why?","The boat hasn't sunk and all the people were below deck. Another possible answer is that the term 'single' implies that everyone on the boat is married; hence, you see no 'single' (unmarried) person.",All the people were married.,The boat is underwater.,Everyone was inside the boat and not visible from your point of view.,The people turned invisible.,Another answer,1
Math problems,"Imagine you are in a game show where you have to split 100 gold coins among five crew members of a pirate ship, including yourself, according to the following rules: The members' ranking from highest to lowest is Captain, First Mate, Quartermaster, Boatswain, and Cabin Boy. You, being the Quartermaster, must propose a distribution plan. If at least half of the crew (including yourself) vote in favor of your plan, you get to distribute the coins accordingly. If not, you'll walk the plank. What is the most gold coins you can keep while still surviving, assuming the rest of the crew members are perfectly logical and greedy (trying to get as many gold coins as they can), and everyone knows each other's rank and intentions?","The best proposal you can make is to give yourself 98 coins, the Captain 1 coin, and the First Mate 1 coin. This way, there will be 2 votes for the plan (yourself and the Captain), and the First Mate also has an incentive to agree since he gets more than the other two lower-ranked crew members. If anyone disagrees, they get nothing, which is a worse outcome for them.",25 coins,50 coins,98 coins,1 coin,Another answer,3
Sequence solving,"Alex is fascinated by sequences and finds a peculiar pattern in the sequence of numbers he writes on his notebook. The sequence starts with 1 and the subsequent numbers seem to be following a certain rule: 1, 11, 21, 1211, 111221, ... What would be the next number in Alex's sequence?","The sequence is known as the 'Look and Say' sequence. Each term is constructed by reading the previous term and noting the count of each group of like digits. For example, '1211' is read as 'one 1, one 2, and two 1s', which becomes '111221'. The next term after '111221' is constructed as 'three 1s, two 2s, and one 1', which is '312211'.",131221,312211,111321,211331,Another answer,2
Lateral thinking,"As an avid gardener, Emma loves growing berries in her garden. Every season, she plants exactly 4 types of berries: strawberries, blueberries, raspberries, and blackberries. One day, Emma noticed an interesting pattern. Whenever she plants strawberries and raspberries together, slugs attack her garden. However, if she plants blueberries and blackberries together without strawberries, she never has a slug problem. If she plants all four types of berries, she ends up with slugs in her garden as well. Using this information, can you figure out which type of berry attracts slugs to Emma's garden?","This puzzle requires you to think laterally and draw conclusions from given observed patterns. Since slugs attack when strawberries and raspberries are planted together, it suggests one of them attracts slugs. However, since slugs also attack when Emma plants all four types, but not when she plants blueberries and blackberries together, we can conclude that the strawberries are the common factor in both scenarios where slugs appear. Thus, strawberries must be attracting the slugs to Emma's garden.",Strawberries,Blueberries,Raspberries,Blackberries,Another answer,1
Classic riddles,You are in a race and you overtake the second person. What position are you in now?,"If you overtake the second person then you take their place, so you're now in second place.",First,Second,Third,Fourth,Another answer,2
Math problems,"You have 150 socks in your drawer: 25 blue, 50 black, 50 white, and 25 grey. You select socks at random in the dark. What is the minimum number of socks you need to pull out to be sure you have a matching pair of black socks?","To ensure you have a matching pair of black socks, prepare for the worst-case scenario where you pick one of each of the other colors first. So you could pick 3 socks (one blue, one white, and one grey) and not have a matching pair yet. The next sock you pick could be black, but to ensure a matching pair of black socks, you must pick another black sock. Hence, after the first 3 non-black socks, you could potentially pick 1 black sock. To guarantee a pair of black socks, you have to pick one more black sock. Therefore, you would need to pick a total of 3 (non-black) + 2 (black) = 5 socks to ensure you have at least one matching pair of black socks.",4,5,6,7,Another answer,4
Math problems,"If you add half of a number to a third of the same number, the result is 60. What is the original number?","Let the original number be x. Then, (1/2)x + (1/3)x = 60. To solve for x, find a common denominator, which is 6 in this case, so we can rewrite the equation as (3/6)x + (2/6)x = 60. Combine like terms to get (5/6)x = 60. Multiply both sides by 6/5 to solve for x: x = (60 * 6) / 5. x = 360 / 5. x = 72. Therefore, the original number is 72.",36,60,72,90,Another answer,3
Probability and statistics,A family has two children. One of them is a girl. What is the probability that both children are girls? Assume that the probability of being born a boy or a girl is equal and independent for each child.,"If one child is a girl, there are three equally possible combinations of two children that could exist: a boy and a girl (BG or GB, order matters), or two girls (GG). The possibility of having two boys (BB) is not considered since we know one is a girl. Therefore, the probability of both children being girls is 1 out of these 3 possibilities.",1/2,2/3,1/3,1/4,Another answer,3
Optimization of actions and planning,"You are a project manager overseeing the construction of a small bridge. The construction needs to be completed within 10 days, and there are four main tasks to be done with the following constraints: Task A takes 3 days and must be done before task B and C. Task B takes 4 days and must be done after task A but before task D. Task C takes 2 days and can be done anytime after task A. Task D, taking 1 day, concludes the project. What is the minimum number of days in which the construction can be completed without breaking any constraints?","To optimize the construction schedule without breaking constraints, start with task A (3 days). Once task A is completed, tasks B and C can be started concurrently. Task B takes 4 days and task C takes 2 days. After finishing task A on the 3rd day and both tasks B and C simultaneously, task B will be completed on the 7th day, while task C would have been completed on the 5th day. Finally, task D, taking 1 day, can be started and finished on the 8th day. This makes the total construction time 8 days.",7 days,8 days,9 days,10 days,Another answer,2
Sequence solving,"Imagine you are faced with a sequence of numbers where each number is the product of the sum of the digits of the previous number. If the sequence begins with '25', what is the 5th number in the sequence?","Starting with 25, sum of its digits is 2 + 5 = 7. The next number, 7, has just one digit, so its own sum is 7 as well. Multiplying, we have 7 * 7 = 49. Continuing this, we sum the digits of 49 (4 + 9 = 13) and multiply them to get 1 + 3 = 4, then 4 * 4 = 16. Lastly, summing the digits of 16 gives us 1 + 6 = 7, and the final multiplication is 7 * 7 = 49. So, the fifth number in the sequence is 49.",13,49,18,36,Another answer,5
Spatial reasoning,"A cube has a snake-like path drawn starting from the bottom left front corner to the top right back corner. The path only travels along the surfaces of the cube, and it must go over every part of the surface of the cube only once without crossing its own path. If the cube's edges are of equal length, how many edges long will this snake-like path be?","The cube has 6 sides, and each side is a square. Since the path has to travel over every part of the surface exactly once, it will need to cross each side once. Counting the edges around one side of the cube we have 4 edges. As the snake starts from one corner and ends at the opposite corner, it would traverse half an edge to start and half an edge to end its path (since it's going diagonally across the last cube's face). This means the snake-like path will have a length of 4 edges per side multiplied by the 6 sides minus 1 edge since we counted one edge twice (the start/end half edges make a full edge). The path would be 4 * 6 - 1 = 23 edges long.",22,23,24,26,Another answer,3
Functions and Algorithms,"Imagine a simple function f(x) that follows these rules: f(1) = 3, f(2) = 6, and f(3) = 11. If the function is defined such that f(n) = f(n-1) + n + 1, what is the value of f(5)?","Starting with the known values, f(1) = 3, f(2) = 6, and f(3) = 11. The function can be applied to find f(4) = f(3) + 4 + 1 = 11 + 4 + 1 = 16. Now, f(5) = f(4) + 5 + 1 = 16 + 5 + 1 = 22.",19,21,22,24,Another answer,3
Math problems,Imagine a 4-digit mechanical combination lock where each digit can be a number from 0 to 9. The lock is unique and specially designed such that the sum of the first two digits is equal to the sum of the last two digits. What is the probability that a randomly chosen combination will open the lock?,"Each of the digits can independently be any of 10 numbers (0-9). There are 10^4 or 10,000 possible combinations in total. Since the first two digits can be anything, there are 100 possibilities for them (00 to 99). For each of these pairs, there is exactly one corresponding pair that can follow to satisfy the condition (sum of first two digits equals the sum of the last two). Therefore, there are 100 combinations that will open the lock. The probability is then 100/10,000 or 1/100.",1/50,1/100,1/1000,1/10,Another answer,5
Operation of mechanisms,"A mechanical combination lock consists of three wheels, each marked with the digits from 0 to 9. Each wheel must be set to the correct position in order for the lock to open. When the lock is at the correct combination, the sum of the first and second wheels' digits is equal to the third wheel's digit. Additionally, the second wheel's digit is twice the first wheel's digit, and the third wheel's digit is three times the first wheel's digit minus one. What is the combination to open the lock?","Let the digit on the first wheel be x. According to the given information, the second wheel's digit must be 2x and the third wheel's digit must be 3x-1. Furthermore, we know x + 2x = 3x-1. Solving this equation, we get x = 1, which then gives us 2x = 2 and 3x-1 = 2. The correct combination is therefore 1-2-2.",1-2-2002,2-4-2005,3-6-2008,5-0-4,Another answer,5
Optimization of actions and planning,"You have a list of tasks to complete within a day. Each task takes a specific whole number of hours and must be completed without interruption. The tasks are as follows: Task A takes 3 hours, Task B takes 6 hours, Task C takes 1 hour, and Task D takes 2 hours. Your goal is to complete all tasks exactly within a 12-hour period with no overlapping, no idle time in between, and no splitting of tasks. In how many different orders can you arrange and complete these tasks?","To find the number of different orders we can arrange and complete the tasks, we have to calculate the permutations of these 4 tasks. All tasks are unique, we consider the problem as arranging 4 distinct objects, which is calculated as 4! (4 factorial). 4! = 4 * 3 * 2 * 1 = 24. Therefore, there are 24 different ways to arrange and complete the tasks within a 12-hour period.",6,12,24,48,Another answer,3
Spatial reasoning,"In a room, there are 4 boxes positioned at the corners of a square rug. Each box has a color and is associated with a letter: Red (R), Green (G), Blue (B), and Yellow (Y). When looking from above, the letters are positioned clockwise starting from the top left corner of the rug. Your task is to move the boxes so that they are positioned counter-clockwise starting from the top left corner but with the additional condition that each box can only be moved diagonally across the rug. How should you move each box to achieve the goal?","To solve this puzzle, you initially have the boxes in the order of RGBY. You need them in the order of YBRG. Move the Red box diagonally to where the Yellow box is, the Yellow box to where the Blue box is, the Blue box to where the Green box is, and the Green box to where the Red box was. The final positioning will be YBRG, which is counter-clockwise from the top left corner.","R->B, B->Y, G->R, Y->G","R->Y, B->R, G->B, Y->G","R->G, B->Y, G->R, Y->B",None of the above movements are correct,Another answer,5
Optimization of actions and planning,"You are given a project that requires you to complete 3 different tasks. Each task can be started only when the previous one is completed. Task A takes 3 days to complete, Task B takes 5 days, and Task C takes 2 days. However, there is a weekend (Saturday and Sunday) after the first 5 days of the week. If you start on Monday, what is the earliest day of the week by which you can complete all tasks?","If you start Task A (3 days) on Monday, it will be finished by the end of Wednesday. Then, if you start Task B (5 days) on Thursday, you will have completed 2 days of work by the end of the Friday, but the weekend interrupts the work. You can resume Task B on the following Monday, requiring 3 more days to complete it, which brings you to the end of Wednesday. Finally, Task C (2 days) starts on Thursday, and you will finish by the end of Friday. Therefore, the earliest day of the week you can complete all tasks is Friday.",Thursday,Friday,Wednesday,Tuesday,Another answer,2
Optimization of actions and planning,"A traveler needs to visit four cities – A, B, C, and D. The distances between them are: A to B is 300km, A to C is 200km, A to D is 400km, B to C is 150km, B to D is 250km, C to D is 100km. The traveler can start at any city. What is the shortest path he can take to visit all cities, without visiting the same city more than once?","The shortest path is A -> C -> D -> B -> A which is 200km + 100km + 250km + 300km = 850km. The process is to list all permutations of visits and calculate the sum of distances for each. Then, choose the permutation with the shortest travel distance.",A -> B -> C -> D -> A,C -> D -> B -> A -> C,A -> C -> D -> B -> A,B -> A -> C -> D -> B,Another answer,5
Operation of mechanisms,"Four friends are exploring an ancient temple with a complicated door mechanism. The door has four levers, and each lever can be in one of three positions: up, middle, or down. To open the door, the levers have to be in a specific configuration. They found a clue that reads: 'The first lever stands alone in its position. The second and third levers are not in the middle together. The fourth lever is in the opposite position of the second lever. One lever is up, one is in the middle, one is down, and one is lying about its position.' Which lever is lying based on its position in the clue, and what is the correct configuration to open the door?","To solve the puzzle, we analyze the information given in the clues: 1. Since there are three levers and each must be in a distinct position, it means one of the lever's clues must be lying. 2. The fourth lever is in the opposite position of the second lever, so they cannot be both in the middle, as that is not an 'opposite' position. 3. The second and third levers cannot both be in the middle. 4. Since the first lever 'stands alone', it cannot share its position with any other lever, which means it must be the one that's lying if any other lever seems to share its position. 5. Therefore, the only configuration that satisfies all these conditions is: the first lever is in the middle (lying about being alone), the second lever is down, the third lever is up (not in the middle with the second), and the fourth lever must be up (the opposite of the second lever's down). So the correct configuration to open the door is: Middle, Down, Up, Up.","Lever 1: Up, Lever 2: Middle, Lever 3: Down, Lever 4: Up","Lever 1: Middle, Lever 2: Down, Lever 3: Up, Lever 4: Up","Lever 1: Down, Lever 2: Up, Lever 3: Middle, Lever 4: Down","Lever 1: Up, Lever 2: Up, Lever 3: Middle, Lever 4: Down",Another answer,5
Optimization of actions and planning,"In a small town, there are three barbershops, each run by a single barber. Every barber charges the same price for a haircut. The first barbershop is always crowded with customers. The second barbershop has fewer customers, but a customer never has to wait very long. The third barbershop is completely empty except for the barber, who does not appear to be busy at all. If you are looking for the best haircut, which barbershop should you visit and why?","You should visit the second barbershop. Since all barbers charge the same price, the cost does not affect the decision. The first barbershop cannot offer the best haircut because the high number of customers suggests either long wait times or rushed haircuts due to demand. The empty third barbershop suggests the barber may lack skill, as no customers are visiting despite his availability. The second barbershop strikes a balance with fewer customers, indicating the barber is skilled enough to have a consistent customer base but not so overwhelmed that they must rush or have long wait times.","The first barbershop, as it's the most popular and thus likely offers the best service.","The second barbershop, as it seems to have a reasonable number of customers indicating good service without being too rushed.","The third barbershop, because the barber is available right away.","None of them, as other factors need to be considered for the best haircut.",Another answer,2
Optimization of actions and planning,"Alice, Bob, and Charlie are planning to paint a house together. The house has four walls, all the same size, and they have estimated that it would take one person 4 hours to paint one wall. They want to finish painting all four walls in the least amount of time. Alice can paint twice as fast as Charlie, and Bob can paint at 1.5 times the speed of Charlie. Assuming they can start painting more than one wall at a time and they all start and finish at the same time, what is the minimum amount of time required to paint all four walls if they work together optimally?","Let's assume Charlie paints at speed 1 wall per 4 hours. Alice paints at speed 2 (twice as fast), and Bob paints at 1.5 times the speed of Charlie (1.5 walls per 4 hours). The combined speed of all three painters is 1 + 2 + 1.5 = 4.5 walls per 4 hours. To paint 4 walls, they would require 4 / 4.5 * 4 = 3.56 hours. Since they can't paint in partial hours, the minimum time they need when they optimize their efforts is 4 hours, as no matter how the work is distributed, they will not be able to finish before the 4 hour mark since not every painter can be utilized fully without wasting time due to a partial wall remaining.",3 hours,4 hours,5 hours,6 hours,Another answer,2
Sequence solving,"A sequence follows a peculiar pattern: 16, 06, 68, 88, ?, 98. What number should replace the '?' in the sequence and why?","The sequence doesn't follow a mathematical or arithmetic rule, but a visual one. By turning the sequence upside down, you realize that these are numbers in descending order: 86, 89, 89, 89, ?, 86. Thus, the missing number, when turned upside down, should be 87, which is 'L8'. So, the correct number to replace '?' is 87.",87,78,85,96,Another answer,2
Functions and Algorithms,"You have a function f(x) that takes an integer and multiplies it by 2 if the number is even, or adds 5 if the number is odd. Starting with the number 1, what is the minimum number of times you need to apply this function to reach a number greater than 50?","Starting with 1 (odd), the function adds 5, resulting in 6. Now, 6 is even, multiplying by 2 gives 12. Apply the function on 12 (even), we get 24. With 24 (even), the function results in 48. Finally, applying the function to 48 (even), we get 96, which is greater than 50. Therefore, we needed to apply the function 4 times to reach a number greater than 50.",3,4,5,6,Another answer,3
